"The results listed on this page are from residential homes in Chicago that have requested to have their water tested for lead. The results are anonymized to the block level, so the complete address of each home is not posted. In cases where a sample tests over 15 parts per billion (the action limit set by the EPA), the Department of Water Management will contact the homeowner to discuss the results and schedule a time to resample the water and inspect the home’s plumbing and electrical wiring to better evaluate possible causes.",,,,,,,,,,,,,,,,,,
Follow-Up Sequential Sampling,,Sequential Draws,,,,,,,,,,,Timed,,,,,
Date Sampled,Address,1st Draw,2nd Draw,3rd Draw,4th Draw,5th Draw,6th Draw,7th Draw,8th Draw,9th Draw,10th Draw,11th Draw,3 Minute,5 Minute,7 Minute,10 Minute,15 Minute,20 Minute
6/8/2021,114XX S Indiana Ave,9.00,11.00,15.00,21.00,20.00,21.00,18.00,19.00,16.00,16.00,,11.00,7.80,7.80,7.70,7.10,
11/8/2019,114XX S May,1.91,4.17,8.25,3.95,3.36,3.33,3.48,3.13,2.89,2.74,3.32,2.21,,,,,
6/29/2019,114XX S St Lawrence ,57.20,17.70,29.9,34.2,22.1,18,16.2,8.86,7.25,6.39,6.24,5.43,,,,,
11/14/2019,114XX S Wallace ,7.06,2.76,4.68,4.74,6.89,20,21,20.8,19.2,19.3,3.11,2.35,,,,,
9/28/2020,11544 S Sangamon St,7.83,4.22,4.23,4.01,4.04,4.02,3.72,3.66,3.84,3.54,2.89,2.10,,,,,
9/19/2019,115XX S Artesian Ave,4.23,2.72,2.42,2.44,2.48,2.62,2.51,2.45,2.56,2.63,2.38,1.29,,,,,
8/27/2019,115XX S Avenue H ,5.21,5.77,7.62,7.24,7.66,9.98,20.1,18,16.7,16.7,17.5,5.44,,,,,
6/9/2021,115XX S Elizabeth St,13.00,20.00,18.00,16.00,17.00,18.00,18.00,17.00,16.00,16.00,,16.00,9.70,6.80,6.20,5.90,
8/30/2019,115XX S Ewing Ave,3.6,3.73,4.56,5.06,6.64,7.98,12.5,13,13.6,14.4,4.03,2.93,,,,,
10/15/2021,115XX S Justine St,8.62,11.80,12.40,13.50,12.90,14.10,16.60,17.40,16.80,16.40,13.20,3.71,3.42,3.23,3.10,,
