CAMNT,sm001,sm002,sm003,sm004,sm005,sm008,sm009,sm010,sm011,sm012,sm013,sm016,sm017,sm018,sm019,sm020,sm024,sm025,sm026,sm027
CAMNT_0024169187,17,11,9,31,25,12,13,10,10,19,25,25,11,29,22,25,17,17,22,16
CAMNT_0024169203,18,23,12,15,11,9,20,16,6,10,11,18,18,10,11,11,4,13,9,11
CAMNT_0024169213,19,36,23,18,17,17,12,22,13,22,17,18,17,18,22,17,16,21,29,21
CAMNT_0024169267,2,10,36,10,3,1,3,18,6,56,3,4,3,11,88,3,3,2,4,20
CAMNT_0024169291,11,11,5,11,9,12,2,10,15,15,9,6,12,6,11,9,10,8,7,7
CAMNT_0024169297,12,7,6,7,12,10,8,5,4,13,12,19,6,11,11,12,8,7,13,2
CAMNT_0024169307,5,12,11,13,8,4,13,19,3,15,8,5,2,8,31,8,3,3,11,13
CAMNT_0024169411,18,28,10,21,12,12,26,23,13,18,12,34,18,14,8,12,10,25,8,11
CAMNT_0024169429,9,11,10,8,8,9,5,13,10,15,8,9,8,9,9,8,8,12,9,5
CAMNT_0024169583,18,21,23,19,23,14,12,17,13,23,23,30,8,30,27,23,10,20,12,21
CAMNT_0024169953,7,16,14,17,12,17,10,14,4,13,12,7,8,7,3,12,14,11,5,5
CAMNT_0024170085,10,14,10,20,16,15,10,10,6,25,16,15,9,19,8,16,6,9,4,14
CAMNT_0024170141,27,15,11,18,16,18,14,18,7,19,16,20,8,12,23,16,8,16,10,14
CAMNT_0024170171,12,19,14,16,11,14,14,21,20,17,11,16,20,15,14,11,16,15,9,12
CAMNT_0024170365,32,67,76,146,87,6,27,73,41,132,87,20,20,62,113,87,8,22,42,102
CAMNT_0024170393,26,10,22,27,24,30,60,23,17,13,24,31,62,35,29,24,33,57,42,11
CAMNT_0024170405,20,5,31,23,36,45,2,38,1,21,36,3,2,5,33,36,21,20,14,35
CAMNT_0024170587,21,11,13,12,17,16,17,18,12,16,17,30,18,8,13,17,18,26,27,7
CAMNT_0024170817,17,25,17,22,12,15,18,7,8,15,12,20,24,11,10,12,23,13,15,14
CAMNT_0024170875,10,63,57,33,13,48,8,43,33,69,13,39,27,210,10,13,12,28,61,33
CAMNT_0024171005,11,8,16,19,12,8,6,11,4,10,12,16,9,10,10,12,10,16,7,3
CAMNT_0024171245,8,13,13,8,11,14,8,18,11,27,11,13,19,14,19,11,11,7,8,9
CAMNT_0024171515,47,38,29,41,28,26,18,26,37,23,28,52,29,21,49,28,37,39,35,19
CAMNT_0024171565,21,19,18,16,11,16,18,22,10,27,11,25,17,12,13,11,13,25,19,17
CAMNT_0024171665,18,16,4,10,11,12,8,8,5,8,11,18,18,10,13,11,24,5,9,7
CAMNT_0024171667,5,24,24,18,21,4,15,15,16,36,21,14,5,8,20,21,6,11,21,21
CAMNT_0024171669,154,169,117,158,226,89,130,106,104,93,226,171,166,150,114,226,100,91,139,118
CAMNT_0024171725,135,155,56,156,204,138,103,92,37,32,204,67,79,97,66,204,61,51,54,39
CAMNT_0024171817,17,22,10,18,10,13,14,12,4,13,10,20,5,7,9,10,19,13,8,9
CAMNT_0024171825,35,54,47,37,42,37,45,34,24,46,42,44,22,32,37,42,31,24,38,19
CAMNT_0024171831,19,12,20,18,24,11,12,12,10,10,24,15,17,11,5,24,24,13,17,11
CAMNT_0024171835,37,74,50,89,53,36,34,48,72,63,53,43,52,43,61,53,63,40,91,33
CAMNT_0024171837,26,26,18,27,21,22,11,24,15,21,21,25,19,30,11,21,25,25,13,15
CAMNT_0024171839,48,43,29,44,32,34,20,41,24,42,32,67,37,24,55,32,31,48,35,27
CAMNT_0024171857,14,12,10,22,12,17,8,18,16,16,12,24,11,17,15,12,23,16,12,12
CAMNT_0024171859,9,7,8,18,8,14,7,10,14,9,8,17,7,10,6,8,19,6,7,6
CAMNT_0024171871,6,17,10,13,11,16,15,15,1,13,11,19,8,6,9,11,9,10,10,7
CAMNT_0024171877,2,11,32,18,2,1,1,12,7,38,2,4,1,9,43,2,1,2,4,33
CAMNT_0024171879,224,332,259,270,284,244,201,333,168,286,284,281,195,204,319,284,157,235,218,191
CAMNT_0024171893,23,14,12,17,15,15,7,14,20,15,15,27,17,12,19,15,8,12,18,8
CAMNT_0024171903,12,11,11,10,10,7,6,10,8,14,10,18,17,8,6,10,12,9,10,8
CAMNT_0024171925,8,12,6,9,10,15,1,7,4,9,10,24,12,8,6,10,16,15,1,9
CAMNT_0024171945,6,8,5,14,12,6,7,9,6,15,12,14,9,20,13,12,8,13,15,12
CAMNT_0024171953,30,39,43,24,23,29,24,36,19,36,23,62,25,22,44,23,39,26,32,25
CAMNT_0024171959,16,30,13,12,15,27,21,28,13,22,15,27,12,9,16,15,19,23,24,15
CAMNT_0024171971,35,25,12,14,19,20,12,12,10,15,19,24,14,14,17,19,14,16,9,14
CAMNT_0024171977,57,34,29,68,61,76,31,46,27,31,61,90,152,48,54,61,41,48,50,28
CAMNT_0024171981,26,33,25,26,17,17,26,21,23,23,17,28,34,15,21,17,26,27,14,17
CAMNT_0024171991,17,20,6,19,8,12,8,18,8,16,8,11,4,3,12,8,11,13,3,9
