Identity,Date Sampled,Address,Draw1,Draw2,Draw3,Draw4,Draw5,Draw6,Draw7,Draw8,Draw9,Draw10,Draw11,Minute3,Minute5,Minute7,Minute10,Minute15,Minute20
146,6/7/2021,11XX E 54Th St,10.6,17.5,25.3,24,24,23.5,16.7,16,11.2,8.7,,7.28,6.53,6.76,6.69,5.76,
147,8/23/2019,11XX N Massasoit Ave,12,11.7,12.7,24.6,28.9,28.8,29.2,32.6,33.4,33,31.5,13.4,6.94,6.44,6.25,,
148,6/16/2021,11XX N Sacramento Ave,13,12,13,14,23,27,26,25,23,21,,19,8.1,,,,
149,3/3/2020,11XX W 111Th St,2.98,1.97,1.89,2.05,2.67,2.53,1.9,1.69,1.61,1.4,0.47,0.36,,,,,
150,1/10/2020,11XX W 50Th St,2.1,4.39,18.9,24.7,18.3,12.2,7.3,2.42,1.27,1.02,0.85,0.76,,,,,
151,11/27/2018,11XX W George ,4.5,8.74,11.9,13.4,13.6,13.9,12.7,10.9,9.61,9.14,9.8,4.51,1.08,1,1.11,,
152,3/16/2016,11XX W George St,8.01,8.5,10.8,9,9.42,10.3,10.5,9.28,6.19,5.1,5.47,5.8,,,,,
153,3/26/2016,11XX W Lunt Ave,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
154,7/12/2021,11XX W Morse Ave,2.25,9.25,14.7,13.2,10.6,9.24,7.81,6.66,6.69,3.22,,0,0,,,,
155,12/11/2018,11XX W Webster Ave,2.86,3.63,4.84,4.19,4.22,5.2,5.62,5.5,5.49,5.72,4.91,4.49,2.59,0,0,,
156,1/7/2019,11XX W Wrightwood ,5.56,5.66,4.67,4.92,5.29,6.44,6.21,5.9,6.35,5.4,4.24,3.07,2.74,2.55,2.68,,
157,12/1/2021,11XX W Wrightwood Ave,4.5,5,5,5.2,5.9,13,22,22,14,8.6,2.4,2.3,2.2,2.1,1.9,,
158,6/17/2021,120XX S Princeton Ave,5.6,3.5,2.3,1.9,1.9,2.4,2.9,2.7,2.5,2.3,,1.6,1.5,1.4,1.3,1.3,
159,3/31/2022,121XX S Justine St,23.7,33.7,34.5,26.8,25.4,19.4,18.32,20.3,19,14.4,2.65,2.32,,,,,
160,8/30/2021,121XX S Racine Ave,5.9,6.6,8.3,13,12,12,12,12,14,14,14,11,5.2,4.7,6.2,,
161,1/9/2017,121XX S Stewart Ave,3.43,4.28,3.49,3.32,2.6,2.2,,,,,1.97,3.31,,,,,
162,7/5/2019,121XX S Throop** ,29.2,33,33.4,37.8,46.8,48,48.2,49.4,52.2,57.2,22.7,,15,13.8,13,,
163,10/23/2019,121XX S Throop** ,24.6,28.1,31.1,34.6,39.9,42.6,43.5,42,42.4,40.9,42.8,17.7,9.93,9.04,8.11,,
164,9/24/2019,121XX S Wallace St,16.8,7.51,7.13,7.46,9.25,8.56,8.45,8.09,7.93,7.77,6.3,5.35,,,,,
165,7/23/2019,122XX S Carpenter ,6,8.43,23,22.1,13.8,18.5,20.4,21.4,21.9,21.5,,19.9,6.24,4.2,3.99,,
166,11/7/2016,122XX S Carpenter St**,14,16.8,15.6,16.4,16.9,15.1,14.7,13.1,13.6,12.9,8.83,4.23,,,,,
167,1/30/2018,122XX S Carpenter St**,5.6,5.16,5.69,5.05,5.17,5.05,5.1,4.12,3.6,3.34,2.85,2.03,,,,,
168,3/13/2020,122XX S Elizabeth St,11.6,17,25.2,29.5,38.2,34.7,30.4,26.6,29.6,32,34.6,4.82,4.27,3.9,3.72,,
169,8/26/2021,122XX S Morgan St,5.4,7.3,8.8,8.3,8.7,8.8,9.7,17,19,20,18,9,4.6,4.3,4.1,,
170,2/13/2020,125XX S Edbrooke Ave,12.2,9.12,12.3,19,19.6,14.9,16.9,20,19.2,18.1,12.4,2.64,,,,,
171,5/26/2021,126XX S Edbrooke Ave,4.12,4.1,4.17,4.33,4.65,6.04,8.47,8.16,8.16,7.91,,,9.08,1.94,1.02,0,
172,8/7/2019,126XX S Emerald ,16.9,9.42,11.3,10.6,10.6,14.4,25,26.6,26.2,26.9,26.6,13.4,8.56,8.12,7.68,,
173,5/14/2019,126XX S Harvard ,131,41.8,14.6,9.66,10.7,8.39,7.17,4.77,6.19,4.37,2.1,1.79,,,,,
174,8/11/2021,126XX S Yale Ave,7.12,8.46,9.04,11.2,12.7,16,14.9,18.1,22.9,25.5,,20.9,6.54,5,4.74,,
175,7/15/2021,127XX S Manistee Ave,10,14,15,15,15,17,27,31,30,27,,27,7.9,,,,
176,2/22/2022,127XX S Saginaw Ave,3.3,2.9,3.7,6.2,4.6,3.9,3.7,3.9,4.3,3.7,0.69,0.58,0.56,0.58,0.5,,
177,6/4/2021,127XX S Sangamon St,15,14,30,22,20,19,21,20,23,22,,4.2,3.7,,,,
178,9/19/2019,127XX S Wallace St,9.29,8.01,9.25,15.6,16,16.7,16.9,18.8,17.9,17.4,15.6,6.62,6.09,5.61,5.33,,
